"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","3","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"3","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","8","16","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"4","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","16","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","24","42","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"6","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","39","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"7","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","47","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"8","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityService.cls","54","35","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"9","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","34","12","MethodNamingConventions","The test method name 'testGetAccountsByType_BlankInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"10","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","75","12","MethodNamingConventions","The test method name 'testUpdateAccountDescriptions_InvalidInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"11","1","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\AccountUtilityServiceTest.cls","114","12","MethodNamingConventions","The test method name 'testGetContactCountByAccount_EmptyInput' doesn't match '[a-z][a-zA-Z0-9]*'","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_codestyle.html#methodnamingconventions","Code Style","pmd"
"12","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"13","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","1","21","StdCyclomaticComplexity","The class 'CoverageDemoService' has a Standard Cyclomatic Complexity of 8 (Highest = 10).","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#stdcyclomaticcomplexity","Design","pmd"
"14","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","2","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"15","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","2","19","CyclomaticComplexity","The method 'calcDiscount(Integer, String)' has a cyclomatic complexity of 11.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
"16","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","30","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"17","3","C:\Users\mukerana\Documents\VS_Code\github_repo\crt_repo\force-app\main\default\classes\CoverageDemoService.cls","30","19","CyclomaticComplexity","The method 'classifyAccount(Account)' has a cyclomatic complexity of 10.","https://docs.pmd-code.org/pmd-doc-7.11.0/pmd_rules_apex_design.html#cyclomaticcomplexity","Design","pmd"
